Dimension:4x14170
RThighAng,LThighAng,RShankAng,LShankAng,
 -2.594470940453, -2.009962563936, -3.980170904597,-32.599465746220,
 -2.594031333116, -2.010017533183, -3.981718970347,-32.598957982718,
 -2.594232069336, -2.010122504100, -3.983139374135,-32.598776199741,
 -2.594232069336, -2.010122504100, -3.983139374135,-32.598776199741,
 -2.594684136685, -2.010404145577, -3.984408441916,-32.598454150649,
 -2.596473603730, -2.010333693001, -3.985660679806,-32.597601811358,
 -2.597768869335, -2.010603452791, -3.986558329182,-32.595711755263,
 -2.598908722863, -2.010787226981, -3.987409640822,-32.593526416908,
 -2.600409812752, -2.010984485461, -3.988260819696,-32.591168812508,
 -2.602001322986, -2.011047122883, -3.988600918141,-32.588730047771,
 -2.603502936517, -2.010803809705, -3.989682315143,-32.586431799308,
 -2.604761899230, -2.011053120868, -3.990458340053,-32.583834361408,
 -2.605050838170, -2.010627354046, -3.991789259575,-32.581768880786,
 -2.604976123039, -2.010481343537, -3.993180461578,-32.580122748515,
 -2.605076497026, -2.010383894388, -3.994590597078,-32.579707488915,
 -2.603814888777, -2.010658053127, -3.991391055921,-32.579154691187,
 -2.603279537270, -2.009807140318, -3.992375751634,-32.577971920533,
 -2.603112925783, -2.008628561761, -3.993132032644,-32.576661168958,
 -2.602817848984, -2.006596009393, -3.994368032647,-32.575550605023,
 -2.602866626084, -2.005066148276, -3.995748880836,-32.574088074346,
 -2.602719112087, -2.003482403181, -3.997172093213,-32.572560927322,
 -2.602470246046, -2.001829105668, -3.998367268784,-32.571763634501,
 -2.601795254426, -2.000117690022, -3.998958748508,-32.570595888425,
 -2.600877490580, -1.998313322804, -3.999621618866,-32.569337923975,
 -2.600099485721, -1.996030181269, -4.000157041907,-32.568387944286,
 -2.598052557821, -1.991602008438, -4.001007210640,-32.567732022126,
 -2.597084382204, -1.989390892341, -4.001595239414,-32.566628184336,
 -2.595502276310, -1.987605718915, -4.002033034966,-32.565405953239,
 -2.593575009146, -1.983233738707, -4.003462185651,-32.563904424626,
 -2.593190281219, -1.980914554552, -4.003719963519,-32.563045652281,
 -2.593118468196, -1.979472563742, -4.003468450369,-32.561962167514,
